protocol,task,mode,metric,chance,test_subject,fold,value,best_val
gh_pooled,speaker4,eeg_imu,acc,0.25,3,3.0,0.4625,0.4625
gh_pooled,speaker4,eeg_imu,acc,0.25,4,4.0,0.47335423197492166,0.47335423197492166
gh_pooled,speaker4,gaze_imu,acc,0.25,0,0.0,0.4875,0.4875
gh_pooled,speaker4,gaze_imu,acc,0.25,1,1.0,0.484375,0.484375
gh_pooled,speaker4,gaze_imu,acc,0.25,2,2.0,0.5,0.5
gh_pooled,speaker4,gaze_imu,acc,0.25,3,3.0,0.478125,0.478125
gh_pooled,speaker4,gaze_imu,acc,0.25,4,4.0,0.46394984326018807,0.46394984326018807
gh_pooled,speaker4,eeg_gaze_imu,acc,0.25,0,0.0,0.515625,0.515625
gh_pooled,speaker4,eeg_gaze_imu,acc,0.25,1,1.0,0.484375,0.484375
gh_pooled,speaker4,eeg_gaze_imu,acc,0.25,2,2.0,0.49375,0.49375
gh_pooled,speaker4,eeg_gaze_imu,acc,0.25,3,3.0,0.478125,0.478125
gh_pooled,speaker4,eeg_gaze_imu,acc,0.25,4,4.0,0.4608150470219436,0.4608150470219436
gh_pooled,eccentricity,eeg,acc,0.5,0,0.0,0.590625,0.590625
gh_pooled,eccentricity,eeg,acc,0.5,1,1.0,0.665625,0.665625
gh_pooled,eccentricity,eeg,acc,0.5,2,2.0,0.640625,0.640625
gh_pooled,eccentricity,eeg,acc,0.5,3,3.0,0.640625,0.640625
gh_pooled,eccentricity,eeg,acc,0.5,4,4.0,0.6614420062695925,0.6614420062695925
gh_pooled,eccentricity,gaze,acc,0.5,0,0.0,0.58125,0.58125
gh_pooled,eccentricity,gaze,acc,0.5,1,1.0,0.68125,0.68125
gh_pooled,eccentricity,gaze,acc,0.5,2,2.0,0.640625,0.640625
gh_pooled,eccentricity,gaze,acc,0.5,3,3.0,0.63125,0.63125
gh_pooled,eccentricity,gaze,acc,0.5,4,4.0,0.6144200626959248,0.6144200626959248
gh_pooled,eccentricity,imu,acc,0.5,0,0.0,0.55,0.55
gh_pooled,eccentricity,imu,acc,0.5,1,1.0,0.65625,0.65625
gh_pooled,eccentricity,imu,acc,0.5,2,2.0,0.6125,0.6125
gh_pooled,eccentricity,imu,acc,0.5,3,3.0,0.625,0.625
gh_pooled,eccentricity,imu,acc,0.5,4,4.0,0.6112852664576802,0.6112852664576802
gh_pooled,hemisphere,eeg,acc,0.5,0,0.0,0.6625,0.6625
gh_pooled,hemisphere,eeg,acc,0.5,1,1.0,0.696875,0.696875
gh_pooled,hemisphere,eeg,acc,0.5,2,2.0,0.65625,0.65625
gh_pooled,hemisphere,eeg,acc,0.5,3,3.0,0.684375,0.684375
gh_pooled,hemisphere,eeg,acc,0.5,4,4.0,0.6551724137931034,0.6551724137931034
gh_pooled,hemisphere,gaze,acc,0.5,0,0.0,0.60625,0.60625
gh_pooled,hemisphere,gaze,acc,0.5,1,1.0,0.603125,0.603125
gh_pooled,hemisphere,gaze,acc,0.5,2,2.0,0.625,0.625
gh_pooled,hemisphere,gaze,acc,0.5,3,3.0,0.6125,0.6125
gh_pooled,hemisphere,gaze,acc,0.5,4,4.0,0.5799373040752351,0.5799373040752351
gh_pooled,hemisphere,imu,acc,0.5,0,0.0,0.59375,0.59375
gh_pooled,hemisphere,imu,acc,0.5,1,1.0,0.609375,0.609375
gh_pooled,hemisphere,imu,acc,0.5,2,2.0,0.653125,0.653125
gh_pooled,hemisphere,imu,acc,0.5,3,3.0,0.596875,0.596875
gh_pooled,hemisphere,imu,acc,0.5,4,4.0,0.5924764890282131,0.5924764890282131
gh_pooled,reconstruction,eeg,pearson_r,0.0,0,0.0,0.00441910931840539,0.00441910931840539
gh_pooled,reconstruction,eeg,pearson_r,0.0,1,1.0,0.006618452724069357,0.006618452724069357
gh_pooled,reconstruction,eeg,pearson_r,0.0,2,2.0,0.0051528653129935265,0.0051528653129935265
gh_pooled,reconstruction,eeg,pearson_r,0.0,3,3.0,0.0038111533503979445,0.0038111533503979445
gh_pooled,reconstruction,eeg,pearson_r,0.0,4,4.0,0.004864860791712999,0.004864860791712999
gh_pooled,reconstruction,eeg_gaze,pearson_r,0.0,0,0.0,0.004450307227671146,0.004450307227671146
gh_pooled,reconstruction,eeg_gaze,pearson_r,0.0,1,1.0,0.007932469248771667,0.007932469248771667
gh_pooled,reconstruction,eeg_gaze,pearson_r,0.0,2,2.0,0.004965505562722683,0.004965505562722683
gh_pooled,reconstruction,eeg_gaze,pearson_r,0.0,3,3.0,0.008263388648629189,0.008263388648629189
gh_pooled,reconstruction,eeg_gaze,pearson_r,0.0,4,4.0,0.0061523751355707645,0.0061523751355707645
gh_pooled,reconstruction,eeg_gaze_imu,pearson_r,0.0,0,0.0,0.006960304919630289,0.006960304919630289
gh_pooled,reconstruction,eeg_gaze_imu,pearson_r,0.0,1,1.0,0.011606978252530098,0.011606978252530098
gh_pooled,reconstruction,eeg_gaze_imu,pearson_r,0.0,2,2.0,0.00418327609077096,0.00418327609077096
gh_pooled,reconstruction,eeg_gaze_imu,pearson_r,0.0,3,3.0,0.008131720125675201,0.008131720125675201
gh_pooled,reconstruction,eeg_gaze_imu,pearson_r,0.0,4,4.0,0.006037366110831499,0.006037366110831499
gh_pooled,reconstruction,eeg_imu,pearson_r,0.0,0,0.0,0.002206547651439905,0.002206547651439905
gh_pooled,reconstruction,eeg_imu,pearson_r,0.0,1,1.0,0.012600883841514587,0.012600883841514587
gh_pooled,reconstruction,eeg_imu,pearson_r,0.0,2,2.0,0.005337855778634548,0.005337855778634548
gh_pooled,reconstruction,eeg_imu,pearson_r,0.0,3,3.0,0.007487195543944836,0.007487195543944836
gh_pooled,reconstruction,eeg_imu,pearson_r,0.0,4,4.0,0.004313353914767504,0.004313353914767504
gh_pooled,reconstruction,gaze,pearson_r,0.0,0,0.0,0.0,0.0
gh_pooled,reconstruction,gaze,pearson_r,0.0,1,1.0,0.0,0.0
gh_pooled,reconstruction,gaze,pearson_r,0.0,2,2.0,0.0,0.0
gh_pooled,reconstruction,gaze,pearson_r,0.0,3,3.0,0.0,0.0
gh_pooled,reconstruction,gaze,pearson_r,0.0,4,4.0,0.0,0.0
gh_pooled,reconstruction,gaze_imu,pearson_r,0.0,0,0.0,0.007155793718993664,0.007155793718993664
gh_pooled,reconstruction,gaze_imu,pearson_r,0.0,1,1.0,0.005965839140117168,0.005965839140117168
gh_pooled,reconstruction,gaze_imu,pearson_r,0.0,2,2.0,0.002552804769948125,0.002552804769948125
gh_pooled,reconstruction,gaze_imu,pearson_r,0.0,3,3.0,0.0,0.0
gh_pooled,reconstruction,gaze_imu,pearson_r,0.0,4,4.0,0.0,0.0
gh_pooled,reconstruction,imu,pearson_r,0.0,0,0.0,0.0,0.0
gh_pooled,reconstruction,imu,pearson_r,0.0,1,1.0,0.004720152821391821,0.004720152821391821
gh_pooled,reconstruction,imu,pearson_r,0.0,2,2.0,0.0024118830915540457,0.0024118830915540457
gh_pooled,reconstruction,imu,pearson_r,0.0,3,3.0,0.0007190413889475167,0.0007190413889475167
gh_pooled,reconstruction,imu,pearson_r,0.0,4,4.0,0.0,0.0
gh_pooled,speaker4,eeg,acc,0.25,0,0.0,0.509375,0.509375
gh_pooled,speaker4,eeg,acc,0.25,1,1.0,0.41875,0.41875
gh_pooled,speaker4,eeg,acc,0.25,2,2.0,0.440625,0.440625
gh_pooled,speaker4,eeg,acc,0.25,3,3.0,0.428125,0.428125
